Национальность,Игрок,Клуб,Амплуа,Голы,Пенальти,Мин./Гол,Минуты,Игры
Сербия,Урош Спаич,Краснодар,защитник,1,0,543,543,10
Россия,Лечи Садулаев,Ахмат,полузащитник,1,0,549,549,16
Камерун,Клинтон Н'Жье,Динамо М,нападающий,1,0,582,582,19
Россия,Михаил Костюков,Рубин,полузащитник,1,0,588,588,13
Парагвай,Хесус Медина,ЦСКА,полузащитник,1,0,667,667,10
Швейцария,Кемаль Адеми,Химки,нападающий,1,0,705,705,12
Россия,Ираклий Манелов,Краснодар,нападающий,1,0,782,782,13
Бразилия,Фернандо Костанца,Крылья Советов,защитник,1,0,790,790,9
Люксембург,Кристофер Мартинс Перейра,Спартак М,полузащитник,1,0,811,811,10
Колумбия,Хорхе Карраскаль,ЦСКА,полузащитник,1,0,847,847,11
Косово,Бернард Бериша,Ахмат,полузащитник,1,0,893,893,13
Швеция,Бесард Сабович,Химки,полузащитник,1,0,897,897,21
Бразилия,Пабло,Локомотив М,защитник,1,0,943,943,13
Россия,Дмитрий Кабутов,Крылья Советов / Уфа,полузащитник,1,0,979,979,19
Россия,Виталий Лысцов,Ахмат,защитник,1,0,1000,1000,13
Россия,Юрий Газинский,Краснодар,полузащитник,1,0,1015,1015,16
Россия,Олег Шатов,Рубин / Урал,полузащитник,1,0,1016,1016,14
Кот-д'Ивуар,Викторьен Ангбан,Сочи,полузащитник,1,0,1026,1026,24
Россия,Илья Берковский,Нижний Новгород,полузащитник,1,0,1032,1032,20
Беларусь,Захар Волков,Химки,защитник,1,0,1036,1036,12
Россия,Константин Кучаев,ЦСКА / Рубин,полузащитник,1,0,1069,1069,22
Россия,Дмитрий Стоцкий,Краснодар / Нижний Новгород,полузащитник,1,0,1097,1097,18
Россия,Кирилл Кравцов,Зенит / Нижний Новгород,полузащитник,1,0,1128,1128,20
Ангола,Баштуш,Ростов,защитник,1,0,1214,1214,14
Украина,Ярослав Ракицкий,Зенит,защитник,1,0,1226,1226,15
Россия,Наиль Умяров,Спартак М,полузащитник,1,0,1237,1237,17
Хорватия,Матео Барач,Сочи / Крылья Советов,защитник,1,0,1268,1268,16
Россия,Александр Ломовицкий,Спартак М / Рубин,полузащитник,1,0,1288,1288,25
Россия,Иван Новосельцев,Арсенал,защитник,1,0,1350,1350,15
Россия,Эльмир Набиуллин,Химки,защитник,1,0,1382,1382,20
Узбекистан,Иброхимхалил Юлдошев,Нижний Новгород,защитник,1,0,1424,1424,19
Канада,Ричи Эннин,Нижний Новгород,нападающий,1,0,1441,1441,19
Венгрия,Акош Кечкеш,Нижний Новгород,защитник,1,0,1462,1462,19
Россия,Никита Чернов,Крылья Советов / Спартак М,защитник,1,0,1507,1507,18
Россия,Дмитрий Скопинцев,Динамо М,защитник,1,0,1565,1565,27
Россия,Денис Терентьев,Ростов,защитник,1,0,1577,1577,25
Россия,Игорь Юрганов,Сочи,защитник,1,0,1579,1579,20
Украина,Иван Ордец,Динамо М,защитник,1,0,1607,1607,18
Россия,Тимур Сулейманов,Нижний Новгород,нападающий,1,0,1615,1615,25
Россия,Кирилл Боженов,Химки,полузащитник,1,0,1640,1640,21
Россия,Арсен Адамов,Урал / Зенит,защитник,1,0,1655,1655,21
Россия,Кирилл Заика,Сочи,защитник,1,0,1663,1663,28
Хорватия,Силвие Бегич,Рубин / Крылья Советов,защитник,1,0,1705,1705,19
Дания,Оливер Абильгор,Рубин,полузащитник,1,0,1747,1747,20
Черногория,Сеад Хакшабанович,Рубин,полузащитник,1,0,1766,1766,20
Бразилия,Айртон,Спартак М,защитник,1,0,1804,1804,21
Армения,Хорен Байрамян,Ростов,полузащитник,1,0,1882,1882,25
Россия,Лео Гогличидзе,Нижний Новгород / Урал,защитник,1,0,1900,1900,23
Россия,Илья Самошников,Рубин,защитник,1,0,2013,2013,24
Россия,Дмитрий Чистяков,Зенит,защитник,1,0,2019,2019,27
Россия,Данил Степанов,Арсенал,защитник,1,0,2172,2172,28
Хорватия,Никола Моро,Динамо М,полузащитник,1,0,2335,2335,28
Россия,Игорь Смольников,Арсенал,защитник,1,0,2372,2372,27
Россия,Андрей Егорычев,Урал,полузащитник,1,0,2394,2394,29
Словения,Яка Бийол,ЦСКА,полузащитник,1,0,2398,2398,28
Россия,Георгий Джикия,Спартак М,защитник,1,0,2461,2461,28
Россия,Иван Обляков,ЦСКА,полузащитник,1,0,2566,2566,29
Россия,Антон Миранчук,Локомотив М,полузащитник,1,1,234,234,9
Россия,Ильзат Ахметов,ЦСКА,полузащитник,1,1,1002,1002,20
